reviewId,userName,userImage,perception,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
52fd545b-9c81-47d0-ae6b-a093ca25f791,Rina 21,https://play-lh.googleusercontent.com/a/ACg8ocJOXVLJO6R1DI-OdndtKNzNoUK84DEb8x7W_EVUGD_OIR9FQw=mo,2,mantap uyy,5,0,,2024-05-25 15:32:30,,,
ece8b430-6c2b-4db9-be56-ce00c8987912,Naila / Ernawati,https://play-lh.googleusercontent.com/a-/ALV-UjVMUO8iC2yWlMhTf9wC_6ToeHyMWiv0jxBknEjauDlRbd3thqA,2,bagus,5,0,5.305.0,2024-05-25 15:26:50,,,5.305.0
f7ba09b9-45ac-4ab6-84eb-9402d55a3bd6,tukiran tukiran,https://play-lh.googleusercontent.com/a-/ALV-UjWgPhQNIo5ZFJyA5tqglH8mO5t7VY0AgcljCdyStlb_zIfCkt1ygw,2,mantap,5,0,5.306.0,2024-05-25 15:25:05,,,5.306.0
e7d23189-3d81-4436-8519-4a7e344da9f1,Alif Berliansyah,https://play-lh.googleusercontent.com/a-/ALV-UjWHcWAfneyqa_exLn6-MQVhQkGlLy4u3LwJ2nL493E8ssJngfyi,1,"Tolong buat di pisahin dong antara grab motor sama grab Electric jangan di jadiin satu, kadang klo kita buru2 dapet nya Electric suka hectic sendiri apalagi jarak nya lumayan dan barang bawaannya agak banyak",4,1,5.307.0,2024-05-25 14:47:37,"Halo Kak, maaf ya jadi bikin nggak nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang, maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya. Terima kasih 🙏
",2024-05-26 3:41:31,5.307.0
0c51238b-ccbe-4c5a-8344-19f0a1abe802,ibor bikul99,https://play-lh.googleusercontent.com/a/ACg8ocJ0ymKVmfW7pkwxmZCd0jps5ABa-RnjrlmYjCjOelA4IyN3LQ=mo,2,good,5,0,5.306.0,2024-05-25 14:41:08,,,5.306.0
d953e2d6-351b-4ccd-a0e7-ff2f34716dc2,Niken Dewi90,https://play-lh.googleusercontent.com/a/ACg8ocIA3Q4ys5Pm4vbuq-54oym3a_2wDrQsxdGhdY1PEUyL2ENZxA=mo,2,perfect👍,5,0,,2024-05-25 14:40:01,,,
8d7eda10-0ec2-446a-b62f-0fbf17c5128c,Bagus Setiawan,https://play-lh.googleusercontent.com/a-/ALV-UjXlXsOk_PQd6L4o2HgjzChMiIO0Bv6pbTR4BvGWXXxFeIIew8o,2,ok,5,0,5.307.0,2024-05-25 14:39:32,,,5.307.0
0aed5111-3bc1-4202-8a9c-ea20361fe0be,Daniel Anggara,https://play-lh.googleusercontent.com/a/ACg8ocL5hDj6nUQgmw7ayS7vr9jfLRTVntB2odnxZIxIW2U9DBIPqw=mo,0,Ongkos grab car terlalu murah... gak ada driver yg mau ambil... nunggu lama...,2,1,,2024-05-25 14:34:28,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2024-05-25 19:09:08,
eabbcd46-8b50-4bf3-9bd2-b7816df71b5e,Antonius Lumban Tobing,https://play-lh.googleusercontent.com/a-/ALV-UjUL5LJY64QxWKaOcWtdu_Fa0B8bEwFAdfaImv1Ll4gSq8iQPQ,2,Menyenangkan,5,0,5.272.0,2024-05-25 14:30:09,,,5.272.0
2c3344d4-bb83-45b4-a095-f301a641dcd9,Sanda Manggala,https://play-lh.googleusercontent.com/a-/ALV-UjVowrnKvL2Oa388sRtSgPv157-H-NtagMtxfiVUqf7yiyvXmfhe,2,ringan,5,0,5.306.0,2024-05-25 14:23:48,,,5.306.0
a36f9cdd-1c02-4b9d-a379-608bdaca3ee7,Iwan Setiawan,https://play-lh.googleusercontent.com/a-/ALV-UjUZGxW24TGqodN-M7CQ_if-Y8p4N3wJjf2aCo9Lb1SYVD8tc9x91w,1,tiga dulu kalo bagus saya tambah saya unduh apk ini karena kecewa dengan gojek......amburadul layan nya ...mudah mudahan grab lebih baik,3,0,5.307.0,2024-05-25 14:20:58,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2024-05-25 19:09:52,5.307.0
6c41ada6-5b09-461a-8838-be8dc04d3047,josis akakib,https://play-lh.googleusercontent.com/a-/ALV-UjVefB__R7P5RO2RbxLClGNcHMGQdd2rNoKyYy2CQ5AhBxuzGBEe,2,"grab pelayanannya Ok, maaf maxim utk driver tidak memiliki kejujuran, krn saya kehilangan hp d mobil maxim tidak dikembalikan. Grab selalu ok",5,0,5.306.0,2024-05-25 14:13:04,,,5.306.0
5f578771-cacb-4577-9229-86e8c7ae72ea,Anisa Azahra,https://play-lh.googleusercontent.com/a/ACg8ocJwCQyujyef951OXa3vNiwInhG28mgSpO72o-RxgtRC9RY1BA=mo,2,joz gandos,5,0,5.307.0,2024-05-25 14:12:43,,,5.307.0
2cf15baf-335d-466b-9cf2-71077d638d0f,Siti Rohimah,https://play-lh.googleusercontent.com/a/ACg8ocLVcFurhKgWG6mC0x_XJ3W7eJZZQUo-Tj4r1w0MUvdw7gJOAA=mo,2,aplikasinya membantu banget.,5,0,5.306.0,2024-05-25 14:06:10,,,5.306.0
ffb53f9b-b690-454e-9cbf-42feda45d0a8,Ahmad Yani,https://play-lh.googleusercontent.com/a/ACg8ocI1dV-VEPXPIKvY2PzpCwxyqfuwU_nPIFxVMNtDoEJZMzT7IQ=mo,2,Sangat puas,5,0,5.307.0,2024-05-25 14:04:37,,,5.307.0
416e0429-b091-433d-8625-be5e187a6e21,Mohd Herry,https://play-lh.googleusercontent.com/a-/ALV-UjUIpdwooWtV8ZWn1KEcfkIsiH3WeSQXPsp4nvjHS7Ipw0EIzsQp,2,driver oke layanan lainnya juga oke tapi grabfood kayak kantjuttt mahal anyinggg promo nya ga ada guna vocer vocer pada gabisa pakai😈😈😈,2,1,5.307.0,2024-05-25 13:56:25,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2024-05-25 19:10:12,5.307.0
085c9730-b041-4e3a-9560-29a655a14f3b,Evi Corinawaty12,https://play-lh.googleusercontent.com/a/ACg8ocIuMs1W-Y7iAuIR5AHJuQBBnmVoMNhJlnqwyp1mjKv7t7ky-w=mo,2,Baik,5,0,,2024-05-25 13:45:30,,,
833a41f9-d914-418a-a0ad-b2a75381c8de,Fajar Oktavianto,https://play-lh.googleusercontent.com/a/ACg8ocIcsKyaPRfBQf5h8Eg5n5JkbENO5wQ9rHmD4dctNgJADUI9qg=mo,2,sangat membantu dan aman,5,0,5.307.0,2024-05-25 13:45:18,,,5.307.0
12058dc6-ebe4-4a72-ae60-71c33996562f,Veebhyna Hsr,https://play-lh.googleusercontent.com/a/ACg8ocIKLsH_pJFsN5aKFYUOBQ3RZAO4ICvSI_x304F52At-FKRqYQ=mo,2,oke,5,0,,2024-05-25 13:31:54,,,
6df2c68f-ada7-4693-a8b5-78ae742a42db,Triono Triono,https://play-lh.googleusercontent.com/a-/ALV-UjWfekeEms-kr47K3ddN6mHS8r_bsL3aqO0yNY4HghnAaAkhTyw,2,ok,5,0,5.304.1,2024-05-25 13:15:50,,,5.304.1
4e931579-782e-4ab2-8524-86d7971c60b3,Harianto Harianto,https://play-lh.googleusercontent.com/a-/ALV-UjW8q9wVkXlot1Ld6Yd2p7-ZjhXbYelrRu_1ZBsdRiqAg99JPkCX,2,drivernya ramah,5,0,5.306.0,2024-05-25 13:06:32,,,5.306.0
2b929534-9d2f-46fd-873c-5708ce0a064f,Heni Rohaeni,https://play-lh.googleusercontent.com/a/ACg8ocIk0hXhMMEwVldri0znEzeaZUCpMwPt2xGnbEzo2dCDc3LobQ=mo,0,Super lelet sering bikin naik darah tp butuh coba klo ada yg lbh bgs lg satset,2,0,5.297.0,2024-05-25 13:05:06,"Halo Kak. Maaf ya buat engga nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2024-05-25 19:10:39,5.297.0
7d4614f0-3225-4a1c-91b8-95cd41780c21,Iruel 614Rjp,https://play-lh.googleusercontent.com/a-/ALV-UjX7A15s8sZEDgtcg6UCk4NtUgTqfCzCKOrhd5VlDyB6qini4prb,2,ramah,5,0,5.300.1,2024-05-25 12:45:59,,,5.300.1
daf3d4ae-78c4-412f-b414-ce1c58786b63,Faizal Madura,https://play-lh.googleusercontent.com/a/ACg8ocKNuTKabxOdHR9U25X0eWfN-5r_VN23zLbxHLEnQ6vqRMA9Mg=mo,2,trmaksi cpt sampai,5,0,5.305.0,2024-05-25 12:42:12,,,5.305.0
00b234c8-44a1-4af6-9adb-61307b8aaec9,ELI OKTAVIANA SIREGAR,https://play-lh.googleusercontent.com/a-/ALV-UjUiywOdm7Smo_ncH0nmTBaAkwaAIhssx0HSNEQjtLWkCLzCnRDB,2,Good,5,0,5.206.0,2024-05-25 12:40:19,,,5.206.0
c6a53b1d-571b-4b1f-9595-abd96ddd04fa,Sudik Mattali,https://play-lh.googleusercontent.com/a-/ALV-UjVJ77SiHt9me8_1RUMwWpp46AssobgDytndzMOfrVBwFLQhC0w,1,pengguna baru bu Umroh,5,0,5.302.0,2024-05-25 12:30:03,,,5.302.0
1fc022d3-f56a-4090-b1ed-113c75fc96c0,Ai Ratnanengsih,https://play-lh.googleusercontent.com/a-/ALV-UjUasiZVjcKgkbfQcJrVlsKpXTsqk_7oNKfL8UrUvllKaWfYZZCd2g,2,haturnhn aa,5,0,5.306.0,2024-05-25 12:17:38,,,5.306.0
20fe9885-b2f2-4b6d-ab28-c0778e3ccff4,suwarno Suwarno,https://play-lh.googleusercontent.com/a/ACg8ocIoCoxpmi0woK67yHKtoG3BTB6kzL_kc_pUrroQdyY_0YKGLA=mo,2,Drevernya baik dan sopan.,5,0,5.307.0,2024-05-25 12:17:09,,,5.307.0
2ac4ff6d-f911-4237-8da0-d58353d17cf5,Cak dy,https://play-lh.googleusercontent.com/a-/ALV-UjX_uHLF6kE8Ij9JDdFB33nZ-C1agbjEZAVrp2iMY6sh1O06SqKk,2,pengantaran cepat👍,5,0,5.305.0,2024-05-25 12:08:57,,,5.305.0
e459de7e-c034-46f8-8f57-29b56dfba122,Meta Zulva,https://play-lh.googleusercontent.com/a/ACg8ocK5_oetNp4h3TJImbG0KmpWrQj0s-1Llo-7PrpDzIpa6zXQFQ=mo,2,"seru,ramah sopan 🤞🤞",5,0,5.299.0,2024-05-25 12:02:23,,,5.299.0
